Marca,Modelo,Ano,Tipo,Encaixe,Sensor,MP,Processador,IBIS,Peso (Corpo),Tipo de visor,Tela,Tela touch,Pontos AF (Visor),AF (Display),FPS RAW,Buffer RAW,Vídeo,Entrada de microfone,Saída de fone,Conectividade
Canon,EOS 4000D / 3000D,2018,DSLR,Canon EF,APS-C,18,DIGIC 4+,Nao possui,436g,Pentaespelho - 95%,Fixa 2.7 pol (baixa resolucao),Nao possui,9 pontos (1 em cruz central),Contraste (Live View) - manual em video,3 fps,6 fotos,1080p 30fps sem crop (aprox.),Nao possui,Nao possui,Nenhuma (sem Wi-Fi - modelo mais basico da linha)
Canon,EOS M50,2018,Mirrorless,Canon EF-M,APS-C,24.1,DIGIC 8,Nao possui,387g,Eletronico OLED integrado - 100% (2360k pontos),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,143 pontos (Dual Pixel CMOS AF - exceto em 4K),Dual Pixel CMOS AF - funciona em video (exceto 4K - so contraste),10 fps (7.4 fps com AF continuo),~10 fotos (aprox.),4K 24fps com crop 1.6x - 1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Canon,EOS R,2018,Mirrorless,Canon RF,Full Frame,30.3,DIGIC 8,Nao possui,580g,Eletronico OLED integrado - 100% (3690k pontos),Articulada touch 3.15 pol (2100k pontos),Sim - com foco ao toque,5655 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,8 fps (5 fps com AF continuo - 3 fps em Live View no EVF),~50 fotos (aprox.),4K 30fps sem crop - 1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC + Bluetooth
Canon,Rebel SL3,2019,DSLR,Canon EF / EF-S,APS-C,24.1,DIGIC 8,Não possui,449g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,9 pontos (visor) / 143 pontos (Live View),Dual Pixel CMOS AF com detecção de olho - contínuo em vídeo (exceto 4K),5 fps,~27 fotos (aprox.),4K 24fps com crop 2.64x / 1080p 60fps sem crop,Sim (P2 3.5mm),Não possui,Wi-Fi + Bluetooth
Canon,EOS 90D,2019,DSLR,Canon EF-S,APS-C,32.5,DIGIC 8,Nao possui,701g,Pentaprisma - 100% (aprox.),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,45 pontos (visor) - 5481 pontos (Live View),Dual Pixel CMOS AF - funciona em video,10 fps,~25 fotos (aprox.),4K 30fps com leve crop - 1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS M200,2019,Mirrorless,Canon EF-M,APS-C,24.1,DIGIC 8,Nao possui,299g,Nao possui visor (sem hot-shoe para EVF externo),Fixa touch 3.0 pol (1040k pontos),Sim - com foco ao toque,143 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,6.1 fps (4 fps com AF continuo),89 fotos (sem AF) - ate 1000 fotos (com AF),1080p 60fps sem crop,Nao possui,Nao possui,Wi-Fi + NFC + Bluetooth
Canon,EOS M6 Mark II,2019,Mirrorless,Canon EF-M,APS-C,32.5,DIGIC 8,Nao possui,408g,Nao possui integrado (EVF externo opcional EVF-DC2 - 2360k pontos),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,143 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,14 fps (30 fps em modo RAW burst com crop),~23 fotos (aprox.),4K 30fps sem crop - 1080p 120fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Canon,EOS RP,2019,Mirrorless,Canon RF,Full Frame,26.2,DIGIC 8,Nao possui,440g,Eletronico OLED integrado - 100% (2360k pontos),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,4779 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,5 fps (4 fps com AF continuo),~50 fotos (aprox.),4K 24fps com crop 1.7x - 1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + Bluetooth
Canon,EOS Ra,2019,Mirrorless (astrofotografia),Canon RF,Full Frame,30.3,DIGIC 8,Nao possui,~660g (aprox.),Eletronico OLED integrado - 100% (3690k pontos),Articulada touch 3.15 pol (2100k pontos),Sim - com foco ao toque,5655 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,8 fps (5 fps com AF continuo),~50 fotos (aprox.),4K 30fps sem crop - 1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC + Bluetooth (filtro IR modificado - 4x mais sensivel a H-alfa)
Canon,Rebel T8i,2020,DSLR,Canon EF / EF-S,APS-C,24.1,DIGIC 8,Não possui,515g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,45 pontos (todos em cruz),Dual Pixel CMOS AF com detecção de olho - contínuo em vídeo (exceto 4K),7 fps,~24 fotos (aprox.),4K 24fps com crop / 1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS-1D X Mark III,2020,DSLR,Canon EF,Full Frame,20.1,DIGIC X,Nao possui,1440g,Pentaprisma - 100%,Fixa touch 3.15 pol (2100k pontos),Sim - com foco ao toque,191 pontos (155 em cruz),Dual Pixel CMOS AF II - funciona em video,16 fps,~140 fotos RAW (aprox.),5.5K RAW 60fps com crop - 4K 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + Ethernet
Canon,Rebel T7+,2020,DSLR,Canon EF / EF-S,APS-C,24.1,DIGIC 4+,Nao possui,427g,Pentaespelho - 95%,Fixa 3.0 pol (920k pontos),Nao possui,9 pontos (1 em cruz central),Contraste (FlexiZone-Single - deteccao de rosto) + deteccao de fase - manual em video,3 fps,11 fotos,1080p 30fps sem crop,Nao possui,Nao possui,Wi-Fi + NFC
Canon,EOS M50 Mark II,2020,Mirrorless,Canon EF-M,APS-C,24.1,DIGIC 8,Nao possui,387g,Eletronico OLED integrado - 100% (2360k pontos),Articulada touch 3.2 pol (1620k pontos),Sim - com foco ao toque,143 pontos (Dual Pixel CMOS AF - exceto em 4K),Dual Pixel CMOS AF - funciona em video (exceto 4K - so contraste),10 fps (7.4 fps com AF continuo),~10 fotos (aprox.),4K 24fps com crop 1.6x - 1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + Bluetooth (sem NFC)
Canon,EOS R5,2020,Mirrorless,Canon RF,Full Frame,44.8,DIGIC X,Sim (5 eixos - ate 8 stops),650g,Eletronico OLED integrado - 100% (5760k pontos),Articulada touch 3.2 pol (2100k pontos),Sim - com foco ao toque,1053 pontos (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,12 fps mecanico - 20 fps eletronico,~87 fotos (aprox.),8K RAW 30fps sem crop - 4K 120fps com leve crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS R6,2020,Mirrorless,Canon RF,Full Frame,20.1,DIGIC X,Sim (5 eixos - ate 8 stops),598g,Eletronico OLED integrado - 100% (3690k pontos),Articulada touch 3.2 pol (1620k pontos),Sim - com foco ao toque,6072 pontos (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,12 fps mecanico - 20 fps eletronico,~240 fotos (aprox.),4K 60fps sem crop - 1080p 120fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS R3,2021,Mirrorless,Canon RF,Full Frame,24.1,DIGIC X,Sim (5 eixos - ate 8 stops),822g,Eletronico OLED integrado - 100% (5760k pontos) - com Eye Control AF,Articulada touch 3.2 pol (4150k pontos),Sim - com foco ao toque,4779 pontos (Dual Pixel CMOS AF II com Eye Control),Dual Pixel CMOS AF II - funciona em video,12 fps mecanico - 30 fps eletronico (195 fps em modo customizado),~150 fotos (aprox.),6K RAW 60fps sem crop - 4K 120fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + Ethernet
Canon,EOS R5 C,2022,Mirrorless (hibrida foto/cinema),Canon RF,Full Frame,45,DIGIC X,Nao possui (removido para viabilizar ventilador de resfriamento),~770g (aprox.),Eletronico OLED integrado - 100% (5760k pontos),Articulada touch 3.2 pol (2100k pontos),Sim - com foco ao toque,1053 pontos (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,12 fps mecanico - 20 fps eletronico,~87 fotos (aprox.),8K RAW 60fps sem crop - 4K 120fps sem crop,Sim (P2 3.5mm + entrada XLR opcional),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS R6 Mark II,2022,Mirrorless,Canon RF,Full Frame,24.2,DIGIC X,Sim (5 eixos - ate 8 stops),588g,Eletronico OLED integrado - 100% (3690k pontos),Articulada touch 3.0 pol (1620k pontos),Sim - com foco ao toque,1053 pontos (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,12 fps mecanico - 40 fps eletronico,~140 fotos (aprox.),4K 60fps sem crop (oversampled de 6K) - 1080p 180fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS R7,2022,Mirrorless,Canon RF,APS-C,32.5,DIGIC X,Sim (5 eixos - ate 8 stops - primeira APS-C da Canon com IBIS),530g,Eletronico OLED integrado - 100% (2360k pontos),Articulada touch 3.2 pol (1620k pontos),Sim - com foco ao toque,651 pontos (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,15 fps mecanico - 30 fps eletronico,~42 fotos (aprox.),4K 60fps sem crop - 1080p 120fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS R10,2022,Mirrorless,Canon RF,APS-C,24.2,DIGIC X,Nao possui,426g,Eletronico OLED integrado - 100% (2360k pontos),Articulada touch 3.0 pol (baixa resolucao),Sim - com foco ao toque,651 zonas - 4503 posicoes (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,15 fps mecanico - 23 fps eletronico,~29 fotos (aprox.),4K 30fps sem crop (60fps com crop) - 1080p 120fps sem crop,Sim (P2 3.5mm),Nao possui (aprox.),Wi-Fi + Bluetooth
Canon,EOS R50,2023,Mirrorless,Canon RF,APS-C,24,DIGIC X,Nao possui,328g,Eletronico OLED integrado - 100% (~786k pontos - aprox.),Articulada touch 3.0 pol (baixa resolucao),Sim - com foco ao toque,651 zonas - 4503 posicoes (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,12 fps eletronico 1a cortina - 15 fps eletronico,~24 fotos (aprox.),4K 30fps sem crop - 1080p 120fps sem crop,Nao possui (aprox.),Nao possui,Wi-Fi + Bluetooth
Canon,EOS R100,2023,Mirrorless,Canon RF,APS-C,24.1,DIGIC 8,Nao possui,356g,Eletronico OLED integrado - 100% (2360k pontos),Fixa 3.0 pol (1040k pontos) - sem touch,Nao possui,143 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,6.5 fps (AF unico) - 3.5 fps (AF continuo),~100 fotos JPEG (aprox.),4K 24fps com crop - 1080p sem crop,Nao possui,Nao possui,Wi-Fi + Bluetooth
Canon,EOS R8,2023,Mirrorless,Canon RF,Full Frame,24.2,DIGIC X,Nao possui,414g,Eletronico OLED integrado - 100% (2360k pontos),Fixa touch 3.0 pol (1620k pontos),Sim - com foco ao toque,651 zonas - 4503 posicoes (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,6 fps 1a cortina - 40 fps eletronico,~110 fotos (aprox.),4K 60fps sem crop (oversampled de 6K) - 1080p 180fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + Bluetooth
Canon,EOS R1,2024,Mirrorless,Canon RF,Full Frame,24.2,DIGIC Accelerator + DIGIC X,Sim (ate 8.5 stops),1115g,Eletronico OLED integrado - 100% - com Eye Control AF,Articulada touch 3.2 pol (2100k pontos - aprox.),Sim - com foco ao toque,Nao divulgado com precisao - cobertura quase total do quadro (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,40 fps eletronico - 12 fps mecanico,~200 fotos (aprox.),6K RAW sem crop - 4K 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + Ethernet
Canon,EOS R5 Mark II,2024,Mirrorless,Canon RF,Full Frame,45,DIGIC X + DIGIC Accelerator,Sim (ate 8.5 stops),656g,Eletronico OLED integrado - 100% (5760k pontos),Articulada touch 3.2 pol (2100k pontos),Sim - com foco ao toque,Nao divulgado com precisao (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,12 fps mecanico - 30 fps eletronico,~180 fotos (aprox.),8K 60fps sem crop - 4K 120fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi 6E + Bluetooth
Canon,EOS R6 Mark III,2025,Mirrorless,Canon RF,Full Frame,32.5,DIGIC X,Sim (5 eixos),609g,Eletronico OLED integrado - 100% (3690k pontos),Articulada touch 3.2 pol (1620k pontos),Sim - com foco ao toque,Nao divulgado com precisao (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,12 fps mecanico - 40 fps eletronico,~190 fotos (aprox.),7K RAW 60fps sem crop (com CFexpress) - 4K 60fps sem crop (oversampled de 7K),Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Canon,EOS R50 V,2025,Mirrorless (vlogging),Canon RF,APS-C,24,DIGIC X,Nao possui,~377g (aprox.),Nao possui visor integrado (voltada para vlogging - sem EVF),Articulada touch 3.0 pol (aprox.),Sim - com foco ao toque,Nao divulgado com precisao (Dual Pixel CMOS AF II),Dual Pixel CMOS AF II - funciona em video,Nao divulgado com precisao (aprox. similar a R50),~24 fotos (aprox.),4K 30fps sem crop,Sim (P2 3.5mm),Nao possui (aprox.),Wi-Fi + Bluetooth + USB-C PD
Canon,EOS R6 V,2026,Mirrorless (video-first - linha EOS V-series),Canon RF,Full Frame,32.5,DIGIC X,Sim (ate 7.5 stops),598g,Nao possui (sem EVF - camera 100% voltada para video),Articulada touch 3.0 pol (aprox.),Sim - com foco ao toque,N/A (sem visor - AF pelo sensor/tela),Dual Pixel CMOS AF II - funciona em video,40 fps eletronico (sem obturador mecanico),Nao divulgado (aprox.),7K RAW 60fps sem crop (Open Gate 7K 30fps) - suporte a Slow and Fast Motion,Sim (audio de 4 canais),Sim (aprox.),Wi-Fi 802.11ac + Bluetooth 5.1
Sony,A3000,2013,Mirrorless (SLR-style),Sony E-mount,APS-C,20.1,BIONZ,Nao possui,411g,Eletronico QVGA integrado (201k pontos),Fixa 3.0 pol (230k pontos),Nao possui,25 pontos (contraste),Contraste - funciona em video,3.5 fps,~5 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Sony,A3500,2014,Mirrorless (SLR-style),Sony E-mount,APS-C,20.1,BIONZ,Nao possui,411g,Eletronico QVGA integrado (201k pontos),Fixa 3.0 pol (230k pontos),Nao possui,25 pontos (contraste),Contraste - funciona em video,3.5 fps,~5 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Sony,A5000,2014,Mirrorless,Sony E-mount,APS-C,20.1,BIONZ X,Nao possui,210g,Nao possui,Articulada (180 para cima) 3.0 pol (460k pontos),Nao possui,25 pontos (contraste),Contraste - funciona em video,3.5 fps,~15 fotos (aprox.),1080p 60fps sem crop,Nao possui,Nao possui,Wi-Fi + NFC
Sony,A5100,2014,Mirrorless,Sony E-mount,APS-C,24.3,BIONZ X,Nao possui,224g,Nao possui,Articulada (180 para cima) touch 3.0 pol (921k pontos),Sim - com foco ao toque,179 pontos fase + 25 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,6 fps,~18 fotos (aprox.),1080p 60fps sem crop (XAVC S - 50Mbps),Nao possui,Nao possui,Wi-Fi + NFC
Sony,A6000,2014,Mirrorless,Sony E-mount,APS-C,24.3,BIONZ X,Nao possui,344g,Eletronico OLED integrado (1440k pontos),Fixa (tilt) 3.0 pol (921k pontos),Nao possui,179 pontos fase + 25 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,11 fps,~22 fotos (aprox.),1080p 60fps sem crop,Nao possui,Nao possui,Wi-Fi + NFC
Sony,A6300,2016,Mirrorless,Sony E-mount,APS-C,24.2,BIONZ X,Nao possui,404g,Eletronico OLED integrado (2359k pontos),Fixa (tilt) 3.0 pol (921k pontos),Nao possui,425 pontos fase + 169 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,11 fps,~21 fotos (aprox.),4K 30fps sem crop (oversampled de 6K) - pioneira 4K APS-C,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC
Sony,A6500,2016,Mirrorless,Sony E-mount,APS-C,24.2,BIONZ X + LSI Front-End,Sim (5 eixos - ate 5 stops),453g,Eletronico OLED integrado (2359k pontos),Fixa (tilt) touch 3.0 pol (921k pontos),Sim - com foco ao toque,425 pontos fase + 169 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,11 fps,~107 fotos (buffer gigante para a epoca),4K 30fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Sony,A6400,2019,Mirrorless,Sony E-mount,APS-C,24.2,BIONZ X,Nao possui,403g,Eletronico OLED integrado (2359k pontos),Articulada (180 para cima) touch 3.0 pol (921k pontos),Sim - com foco ao toque,425 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video com Real-time Tracking,11 fps,~46 fotos (aprox.),4K 30fps sem crop / sem limite de gravacao (30 min),Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Sony,A6100,2019,Mirrorless,Sony E-mount,APS-C,24.2,BIONZ X,Nao possui,396g,Eletronico OLED integrado (baixa resolucao - 1440k pontos),Articulada (180 para cima) touch 3.0 pol (921k pontos),Sim - com foco ao toque,425 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video com Real-time Tracking,11 fps,~33 fotos (aprox.),4K 30fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Sony,A6600,2019,Mirrorless,Sony E-mount,APS-C,24.2,BIONZ X,Sim (5 eixos - ate 5 stops),503g,Eletronico OLED integrado (2359k pontos),Articulada (180 para cima) touch 3.0 pol (921k pontos),Sim - com foco ao toque,425 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video com Real-time Eye AF,11 fps,~44 fotos (aprox.),4K 30fps sem crop / bateria Z grande,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC + Bluetooth
Sony,A6700,2023,Mirrorless,Sony E-mount,APS-C,26,BIONZ XR + Processador de IA dedicado,Sim (5 eixos - ate 5 stops),493g,Eletronico OLED integrado (2360k pontos),Articulada touch 3.0 pol (1036k pontos),Sim - com foco ao toque,759 pontos fase + 495 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video com IA (Real-time Tracking),11 fps,~59 fotos (aprox.),4K 120fps com crop / 4K 60fps sem crop (oversampled de 6K),Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + USB-C 3.2
Sony,A7 II,2014,Mirrorless,Sony E-mount (FE),Full Frame,24.3,BIONZ X,Sim (5 eixos - ate 4.5 stops),556g,Eletronico OLED integrado (2359k pontos),Fixa (tilt) 3.0 pol (1228k pontos),Nao possui,117 pontos fase + 25 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,5 fps,~20 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC
Sony,A7 III,2018,Mirrorless,Sony E-mount (FE),Full Frame,24.2,BIONZ X,Sim (5 eixos - ate 5 stops),650g,Eletronico OLED integrado (2359k pontos),Fixa (tilt) touch 3.0 pol (921k pontos),Sim - com foco ao toque,693 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps,~40 fotos (aprox.),4K 30fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC + Bluetooth
Sony,A7 IV,2021,Mirrorless,Sony E-mount (FE),Full Frame,33,BIONZ XR,Sim (5 eixos - ate 5.5 stops),658g,Eletronico OLED integrado (3690k pontos),Articulada touch 3.0 pol (1036k pontos),Sim - com foco ao toque,759 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps,mais de 1000 fotos (com cartao CFexpress),4K 60fps com crop (super 35) / 4K 30fps sem crop oversampled de 7K,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + USB-C streaming
Sony,A7 V,2025,Mirrorless,Sony E-mount (FE),Full Frame,33,BIONZ XR2 + Processador de IA dedicado,Sim (5 eixos - ate 7.5 stops),~660g (aprox.),Eletronico OLED integrado (3680k pontos),Articulada touch 3.2 pol,Sim - com foco ao toque,759 pontos fase (hibrido),Hibrido (fase + contraste) - funciona em video com Real-time Tracking,30 fps eletronico (blackout-free),~100 fotos (aprox.),4K 60fps sem crop (oversampled de 7K) - 4K 120fps com crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi 6 + Bluetooth + Dual USB-C
Sony,ZV-E10,2021,Mirrorless (vlogging),Sony E-mount,APS-C,24.2,BIONZ X,Nao possui,343g,Nao possui visor integrado (voltada para vlogging - sem EVF),Articulada touch 3.0 pol (921k pontos),Sim - com foco ao toque,425 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,11 fps,~33 fotos (aprox.),1080p 120fps sem crop / 4K 30fps com leve crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth
Sony,FX3,2021,Mirrorless (cinema),Sony E-mount (FE),Full Frame,12.1,BIONZ XR,Sim (5 eixos - ate 5.5 stops),715g (corpo - 1015g com alça XLR),Nao possui visor integrado (camera de cinema - sem EVF),Articulada touch 3.0 pol (1440k pontos),Sim - com foco ao toque,759 pontos fase + 425 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video (10-bit 4:2:2 interno),10 fps,~1000 fotos (aprox.),4K 120fps sem crop (leve crop 1.1x) - ventoinha interna ativa,Sim (P2 3.5mm + entrada XLR incluida),Sim (P2 3.5mm),Wi-Fi de banda dupla + Bluetooth
Sony,FX30,2022,Mirrorless (cinema),Sony E-mount,APS-C,26,BIONZ XR,Sim (5 eixos - active mode digital),562g (corpo - 951g com alça XLR),Nao possui visor integrado (camera de cinema - sem EVF),Articulada touch 3.0 pol (1440k pontos),Sim - com foco ao toque,759 pontos fase + 495 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video com IA (Real-time Tracking),11 fps,~59 fotos (aprox.),4K 120fps com crop / 4K 60fps sem crop (oversampled de 6K),Sim (P2 3.5mm + entrada XLR opcional),Sim (P2 3.5mm),Wi-Fi de banda dupla + Bluetooth
Sony,ZV-E1,2023,Mirrorless (vlogging),Sony E-mount (FE),Full Frame,12.1,BIONZ XR + Processador de IA dedicado,Sim (5 eixos - ate 5 stops),483g,Nao possui visor integrado (voltada para vlogging - sem EVF),Articulada touch 3.0 pol (1036k pontos),Sim - com foco ao toque,759 pontos fase (hibrido),Hibrido (fase + contraste) - funciona em video com enquadramento por IA,10 fps,~1000 fotos (aprox.),4K 120fps com crop / 4K 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + USB-C streaming
Sony,ZV-E10 II,2024,Mirrorless (vlogging),Sony E-mount,APS-C,26,BIONZ XR,Nao possui (apenas estabilizacao digital e gyro),377g,Nao possui visor integrado (voltada para vlogging - sem EVF),Articulada touch 3.0 pol (1036k pontos),Sim - com foco ao toque,759 pontos fase (hibrido),Hibrido (fase + contraste) - funciona em video com IA,11 fps eletronico (sem obturador mecanico),~30 fotos (aprox.),4K 60fps sem crop (oversampled de 5.6K) / 10-bit 4:2:2 nativo,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + Bluetooth + USB-C (vertical video nativo)
Nikon,1 J1,2011,Mirrorless,Nikon 1,1 polegada (CX),10.1,EXPEED 3,Nao possui,234g,Nao possui visor integrado (apenas tela traseira),Fixa 3.0 pol (460k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps,~5 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Nikon,1 V1,2011,Mirrorless,Nikon 1,1 polegada (CX),10.1,EXPEED 3,Nao possui,294g,Eletronico integrado (1440k pontos),Fixa 3.0 pol (921k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps,~10 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Nao possui,Porta de acessorios multi-midia
Nikon,1 J2,2012,Mirrorless,Nikon 1,1 polegada (CX),10.1,EXPEED 3,Nao possui,237g,Nao possui visor integrado (apenas tela traseira),Fixa 3.0 pol (921k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps,~5 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Nikon,1 V2,2012,Mirrorless,Nikon 1,1 polegada (CX),14.2,EXPEED 3A,Nao possui,337g,Eletronico integrado (1440k pontos),Fixa 3.0 pol (921k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,15 fps,~15 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Nao possui,Porta de acessorios multi-midia
Nikon,1 S1,2013,Mirrorless,Nikon 1,1 polegada (CX),10.1,EXPEED 3A,Nao possui,197g,Nao possui visor integrado (apenas tela traseira),Fixa 3.0 pol (460k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,15 fps,~5 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Nikon,1 J3,2013,Mirrorless,Nikon 1,1 polegada (CX),14.2,EXPEED 3A,Nao possui,201g,Nao possui visor integrado (apenas tela traseira),Fixa 3.0 pol (921k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,15 fps,~10 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Nikon,1 AW1,2013,Mirrorless (a prova d'agua),Nikon 1,1 polegada (CX),14.2,EXPEED 3A,Nao possui,313g,Nao possui visor integrado (apenas tela traseira),Fixa 3.0 pol (921k pontos),Nao possui,73 pontos fase + 135 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,15 fps,~10 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,GPS integrado + Impermeavel ate 15m
Nikon,1 V3,2014,Mirrorless,Nikon 1,1 polegada (CX),18.4,EXPEED 4A,Nao possui,324g,Nao possui visor de serie (suporta EVF opcional DF-N1000),Articulada (tilt) touch 3.0 pol (1037k pontos),Sim - com foco ao toque,171 pontos fase + 171 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,20 fps,~40 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi integrado
Nikon,1 J4,2014,Mirrorless,Nikon 1,1 polegada (CX),18.4,EXPEED 4A,Nao possui,192g,Nao possui visor integrado (apenas tela traseira),Fixa touch 3.0 pol (1037k pontos),Sim - com foco ao toque,171 pontos fase + 171 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,20 fps,~20 fotos (aprox.),1080p 60fps sem crop,Nao possui,Nao possui,Wi-Fi integrado
